id,post_title,link,summary,is_new,campuses,degrees,topics,interests
552197,Medical Laboratory Science,https://you.ubc.ca/programs/medical-laboratory-science/,"Whether you’re interested in pursuing a career in research or biotechnology, considering entering a health profession, or looking to advance your career as a medical laboratory technologist, the Medical Laboratory Science program could be for…",False,[1710814996],[1475458738],[1166637932],"[501643338, 1825348589, 460031769]"
555222,Medicine,https://you.ubc.ca/programs/medicine/,"UBC’s Doctor of Medicine (MD) undergraduate program equips you with the knowledge, training, and experience you need to meet the health care challenges of today and tomorrow. As an MD student, you&#8217;ll work alongside faculty…",False,"[3867375191, 1710814996]",[1508390991],[1166637932],"[2500499319, 501643338, 1825348589, 1481580292]"
863,Medieval Studies,https://you.ubc.ca/programs/medieval-studies/,"Through a study of the medieval period, you can come to an understanding of a civilization as a whole in both its unity and diversity. Study of the Middle Ages teaches you to critically evaluate…",False,[1710814996],[3151486684],[3571831894],"[795810186, 3541596877, 1248952799, 1481580292, 775837691, 2644274870]"
865,Microbiology and Immunology,https://you.ubc.ca/programs/microbiology-immunology/,"UBC&#8217;s department of Microbiology and Immunology is a leading centre for the study of bacteria, fungi, and viruses, and their roles in human health and disease, agriculture, natural ecosystems, energy, and global sustainability. The department…",False,[1710814996],[2228041040],[1166637932],"[501643338, 1825348589, 460031769, 2461791673]"
871,Midwifery,https://you.ubc.ca/programs/midwifery/,"The Midwifery Program at UBC has been preparing midwives since 2002 and provides a high-quality, clinically-based educational experience that allows you to enter directly into practice following registration. UBC Midwifery graduates are working as midwives…",False,[1710814996],[3735190584],[1166637932],"[3957134255, 501643338, 1825348589]"
875,Mining Engineering,https://you.ubc.ca/programs/mining-engineering/,"Mining engineers focus on finding ways to extract minerals or metals from the earth. Their expertise in mining, mineral processing, and mine waste management is highly sought after around the world, wherever mines are located.…",False,[1710814996],[2061173936],[1785411973],"[3151545924, 2790669962, 3235814191]"
877,Modern European Studies,https://you.ubc.ca/programs/modern-european-studies/,"Study European languages, history, art, music, literature, philosophy, geography, sociology, anthropology, politics, and economics in a broadly based concentration that will extend and deepen your knowledge of European issues.",False,[1710814996],[3151486684],"[3571831894, 3063730439, 2532969046]","[1248952799, 342941353, 1640973582, 3461931775, 2644274870]"
883,Museum Studies,https://you.ubc.ca/programs/museum-studies/,"Learn about the history of museum collecting, debate the public role of museums, address questions of ownership and repatriation of collections, and explore the complex relationship between museums and the individuals and communities that originally…",False,[1710814996],[3151486684],[2532969046],"[795810186, 3541596877, 1248952799, 3015131076]"
893,Music,https://you.ubc.ca/programs/music/,"Music is a rich, diverse, and universal art that is profoundly rewarding to study and to perform. Prepare for music-related careers in elementary education, broadcasting and journalism, music therapy, and business by integrating the study…",False,[1710814996],[3151486684],[653776851],"[795810186, 4162136220, 2677821396, 2876509881, 346360044]"
885,Music: Advanced Performance,https://you.ubc.ca/programs/music-advanced-performance/,"Study music theory and technology, musicianship, and more alongside four years of private instruction in piano, opera, a standard orchestral instrument, voice, guitar, harpsichord, or organ.",False,[1710814996],[3773949241],[653776851],"[795810186, 3541596877, 2677821396, 2876509881, 346360044]"
887,Music: Composition,https://you.ubc.ca/programs/music-composition/,"UBC Composition provides an array of opportunities for the creation, exploration, and performance of contemporary music. The School of Music houses a state-of-the-art electronic music studio for students interested in creating works which involve sound…",False,[1710814996],[3773949241],[653776851],"[795810186, 2677821396, 2876509881, 346360044, 3748041039]"
889,Music: General Studies,https://you.ubc.ca/programs/music-general-studies/,"Music: General Studies is designed to provide a broad, flexible, and general higher education in music, including private lessons on the instrument that you play best. You&#8217;ll have the freedom to choose many elective courses,…",False,[1710814996],[3773949241],[653776851],"[795810186, 2677821396, 2876509881, 346360044, 514922210]"
891,Music: Scholarship,https://you.ubc.ca/programs/music-scholarship/,"Music Scholarship is for students who have a special aptitude for research in music history, music theory, or ethnomusicology.",False,[1710814996],[3773949241],[653776851],"[795810186, 3541596877, 1248952799, 2677821396, 2876509881]"
568741,Neuroscience,https://you.ubc.ca/programs/neuroscience/,"Neuroscience is the multidisciplinary study of the brain and the nervous system. Methodologies from many disciplines including cellular and molecular biology, behavioural sciences, cognitive psychology, physiology and anatomy are used to investigate neural function and behaviour.",False,[1710814996],[2228041040],[1166637932],"[501643338, 1825348589, 1481580292]"
913,Nursing,https://you.ubc.ca/programs/nursing-vancouver/,"Nurses make a real difference to the health and well-being of individuals, families, communities, and populations – in Canada and globally. You&#8217;ll learn from faculty members who are continually recognized for groundbreaking and dedicated work to…",False,[1710814996],[1897306707],[1166637932],"[501643338, 1825348589, 1030157987]"
915,Nutritional Sciences,https://you.ubc.ca/programs/nutritional-sciences/,"Build a strong foundation in basic and applied human nutrition as you delve into a broad range of topics, from community nutrition to how our bodies actually metabolize and use nutrients. You’ll explore rich opportunities…",False,[1710814996],[3989580303],[1166637932],"[2500499319, 1825348589, 2790669962]"
921,Oceanography,https://you.ubc.ca/programs/oceanography/,"Oceanography is the study of our oceans, including their circulation, physical and chemical properties, and life. Physical, biological, and chemical oceanographers often work together in this richly interdisciplinary science to better understand how the ocean…",False,[1710814996],[2228041040],[2863626295],"[3151545924, 1948821596, 2461791673]"
561295,Pharmaceutical Sciences,https://you.ubc.ca/programs/pharmaceutical-sciences/,"Study the sciences behind drug discovery and development, including pharmacology, formulations, nanomedicine, diagnostics, and analytical chemistry. You&#8217;ll graduate ready for grad school or a technical position in pharmaceuticals, life sciences, or biotechnology.",False,[1710814996],[3417730641],[1166637932],"[1825348589, 3068714876, 2461791673]"
927,Pharmacology,https://you.ubc.ca/programs/pharmacology/,"This program emphasizes the experimental and laboratory aspects of pharmacology. You will learn both whole-animal and isolated-tissue techniques, as well as biochemical and chemical procedures, that will be relevant in both pre-clinical and clinical research…",False,[1710814996],[2228041040],[1166637932],"[501643338, 1825348589, 2461791673]"
929,Pharmacy,https://you.ubc.ca/programs/pharmacy/,"Pharmacists have specialized knowledge of medicines, ranging from their discovery, chemistry, synthesis, and manufacture to how they work in the body, how they can improve or cure disease, and how to determine if they are…",False,[1710814996],[565541134],[1166637932],"[501643338, 2461791673, 1418100143]"
931,Philosophy,https://you.ubc.ca/programs/philosophy-vancouver/,"Philosophy covers everything from fundamental questions about knowledge, the meaning of life and how to live it, to questions about how to design intelligent robots, the ethics of scientific and technological innovation, and how to…",False,[1710814996],[3151486684],[2532969046],"[1909469088, 460031769, 775837691, 3068714876, 3748041039]"
943,Physics,https://you.ubc.ca/programs/physics-vancouver/,"Physicists study the material world and the energy that drives it, from the smallest particles like neutrinos and Higgs bosons, to the very largest structures in the universe, and ultimately the universe itself.",False,[1710814996],[2228041040],[3669867392],"[3941838386, 1192414939, 460031769, 1418100143]"
949,Political Science,https://you.ubc.ca/programs/political-science-vancouver/,"Political Science is the study of the nature, causes, and consequences of collective decisions and actions taken by groups of people embedded in cultures and institutions that structure power and authority. In this program you&#8217;ll…",False,[1710814996],[3151486684],[3571831894],"[3541596877, 1248952799, 1481580292, 1640973582, 3068714876]"
957,Psychology,https://you.ubc.ca/programs/psychology-vancouver-ba/,"Study human and animal behaviour using scientific methods and from a variety of perspectives including behavioural neuroscience, cognition, clinical, health, developmental, social and personality psychology, and quantitative methods.",False,[1710814996],[3151486684],"[1166637932, 2532969046]","[3541596877, 501643338, 1825348589, 1481580292]"
967,Religion,https://you.ubc.ca/programs/religion/,The Program in the Study of Religion provides a solid education in a variety of religions from a number of disciplinary perspectives. It incorporates different regions and historical periods while allowing you to focus on…,False,[1710814996],[3151486684],"[3571831894, 2532969046]","[795810186, 3541596877, 775837691, 2644274870]"
971,Romance Studies,https://you.ubc.ca/programs/romance-studies/,"Romance languages are vehicles of communication and exchange across Europe, North and South America, the Caribbean, the Middle East, Africa, and Southeast Asia. You&#8217;ll study the literatures, languages, and cultures of the Romance World.",False,[1710814996],[3151486684],"[3063730439, 2532969046]","[3541596877, 1248952799, 342941353, 2644274870]"
989,Social Work,https://you.ubc.ca/programs/social-work/,"Social work is a profession working for social justice at individual, family, organization, community, and societal levels. You&#8217;ll gain the necessary skills, knowledge, ethics, and values to work in the different areas of social work…",False,[1710814996],[1498669825],[2532969046],"[501643338, 1481580292, 3714169496, 1030157987, 444110842]"
993,Sociology,https://you.ubc.ca/programs/sociology-vancouver/,"Sociology examines the processes of social and cultural life in human societies past and present, near and far. You&#8217;ll study the lives of individuals with participation in social groups and networks, explore the linkages between…",False,[1710814996],[3151486684],[2532969046],"[3541596877, 3957134255, 1481580292, 775837691, 444110842]"
997,Spanish,https://you.ubc.ca/programs/spanish-hispanic-studies/,"The Spanish program offers a variety of courses in Spanish language at all levels, and in Hispanic literature, culture, and civilization. Language courses focus on the development of oral, grammar, writing, and communicative skills, while…",False,[1710814996],[3151486684],"[3063730439, 2532969046]","[3541596877, 1248952799, 342941353]"
999,Speech Sciences,https://you.ubc.ca/programs/speech-sciences/,"Speech Sciences is an interdisciplinary program with courses from Linguistics, Psychology, and the School of Audiology and Speech Sciences. You&#8217;ll study research methods, language structure, child development and language acquisition, anatomy and physiology, experimental psychology,…",False,[1710814996],[3151486684],"[1166637932, 3063730439]","[1825348589, 1481580292, 342941353, 775837691]"
1003,Statistics,https://you.ubc.ca/programs/statistics-vancouver/,"This program emphasizes the role of statistics within the general framework of problem solving, and helps you develop an understanding of the concepts of observation, hypothesis, evidence, and validation. You&#8217;ll learn more about critical statistical…",False,[1710814996],[2228041040],[3669867392],"[4106025904, 2605208591, 1640973582, 582946604]"
555107,Sustainable Agriculture and Environment,https://you.ubc.ca/programs/sustainable-agriculture-environment/,"Learn how to produce food in a way that protects our soils, water, and air; how to manage biodiversity and habitat for the organisms we rely on to help us grow our food; and how…",False,[1710814996],[786632702],[2863626295],"[3985172586, 3151545924, 1028682697, 2904271204, 1437986676]"
1009,Theatre Studies,https://you.ubc.ca/programs/theatre/,"Studying Theatre Studies at UBC exposes you to a wide array of methodologies for analyzing theatre and performance. Some methodologies involve close textual analysis, examining a play&#8217;s form, style, and narrative in detail. Others focus…",False,[1710814996],[3151486684],[653776851],"[1979775749, 4214343119, 3541596877, 1481580292, 4114175820]"
1013,Theatre: Acting,https://you.ubc.ca/programs/theatre-acting/,"Receive rigorous actor training from UBC&#8217;s renowned BFA program. Your studies will straddle studio practice and lecture/discussion, spanning a broad range of performance modalities and theoretical approaches in order to develop the actors instrument and…",False,[1710814996],[2718097467],[653776851],"[3948976845, 1979775749, 4162136220, 4083978177, 4114175820]"
1015,Theatre: Design and Production,https://you.ubc.ca/programs/theatre-design-production/,"While studying Design and Production for Theatre, you’ll develop important skills and practical experience while also taking courses in play analysis, storytelling foundations, elements of design, collaborative thinking, research methods, and theatre history &amp; theory.",False,[1710814996],[2718097467],[653776851],"[3948976845, 1979775749, 4162136220, 4083978177, 4114175820]"
1021,United States Studies,https://you.ubc.ca/programs/united-states-studies/,"This program will significantly increase your understanding of the United States and its institutions and policies. Your coursework will span topics in economics, political science, history, and more.",False,[1710814996],[3151486684],"[3571831894, 2532969046]","[3541596877, 1248952799, 1640973582]"
341396,Urban Forestry,https://you.ubc.ca/programs/urban-forestry/,"Develop your passion for the urban environment as you learn more about sustainability, green space planning, and nature in the city. Urban Forestry is the first undergraduate degree in Canada dedicated to the planning and…",False,[1710814996],[1100830481],"[2863626295, 1166637932]","[4214343119, 1437986676, 2790669962, 4181312913, 1418100143]"
568680,Urban Studies,https://you.ubc.ca/programs/urbanstudies/,"Now, more than ever, we need people who are trained to understand and shape urbanization from the public, private, and civic sectors. Urban Studies provides a comprehensive conceptual and applied foundation for those who seek…",False,[1710814996],[3151486684],[2863626295],"[4214343119, 3151545924, 2790669962, 4181312913]"
547511,Vantage One: Applied Science (Engineering),https://you.ubc.ca/programs/vantage-one-applied-science/,"Prepare for UBC’s Engineering programs by choosing the Applied Science stream at UBC Vantage College. You’ll complete foundational coursework in engineering, chemistry, math, and physics, plus you’ll participate in an engineering design project that culminates…",False,"[3867375191, 1710814996]",[],[1785411973],"[3212285637, 3941838386, 1192414939]"
572165,Vantage One: Arts,https://you.ubc.ca/programs/vantage-one-arts/,"The UBC Vantage One Arts program includes courses in history, sociology, geography, political science, psychology, research, and writing, to give you a solid foundation of knowledge in the arts and to strengthen your communication skills.",False,[1710814996],[],"[3571831894, 2532969046]","[795810186, 3541596877, 501643338, 1248952799, 1481580292, 342941353, 3748041039]"
547517,Vantage One: Science,https://you.ubc.ca/programs/vantage-one-science/,The Science stream at UBC Vantage College establishes a foundation of knowledge through a core set of science courses that range from chemistry to calculus to programming. You will have the option of selecting either…,False,[1710814996],[],"[1785411973, 1166637932, 3669867392]","[3941838386, 342941353, 3068714876]"
1029,Visual Art (BA),https://you.ubc.ca/programs/visual-art-ba/,"This program is similar to a general liberal arts degree with an emphasis on the practice of visual art. Held in studio environments, visual art classes foster individual creative production and visual literacy in a…",False,[1710814996],[3151486684],[653776851],"[3779456605, 296644452, 3497688324, 376630936, 3496947283]"
1031,Visual Art (BFA),https://you.ubc.ca/programs/visual-art-bfa/,"The BFA Visual Art program focuses on visual art practice, critical theory, and art history while providing an excellent foundation in a variety of fields involving the making and understanding of visual art and contemporary…",False,[1710814996],[2718097467],[653776851],"[3779456605, 4055149110, 3497688324, 376630936, 3496947283]"
1039,Wood Products,https://you.ubc.ca/programs/wood-products/,"If you&#8217;re innovative, and you enjoy engineering and problem solving, Wood Products could be for you. This award-winning program fuses science, engineering, and business and is a major in the Bachelor of Science in Nature…",True,[1710814996],[1333869920],"[2016182884, 2863626295, 1785411973]","[3212285637, 3151545924, 2769514293, 2790669962, 1731601707]"
