id,author,status,date,date_utc,modified,modified_utc,url,venue,slug,address,city,country,province,zip,website,stateprovince,show_map,show_map_link,global_id,global_id_lineage,phone
36136,4,publish,2021-12-08 09:53:03,2021-12-08 17:53:03,2021-12-08 09:53:03,2021-12-08 17:53:03,https://events.ubc.ca/venue/david-lam-learning-centre/,David Lam Learning Centre,david-lam-learning-centre,6326 Agricultural Road,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36136,"[""events.ubc.ca?id=36136""]",
36135,4,publish,2021-12-08 09:52:34,2021-12-08 17:52:34,2021-12-08 09:52:34,2021-12-08 17:52:34,https://events.ubc.ca/venue/d-h-copp-building/,D.H. Copp Building,d-h-copp-building,2146 Health Sciences Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36135,"[""events.ubc.ca?id=36135""]",
36134,4,publish,2021-12-08 09:51:13,2021-12-08 17:51:13,2021-12-08 09:51:13,2021-12-08 17:51:13,https://events.ubc.ca/venue/continuing-studies-building/,Continuing Studies Building,continuing-studies-building,2121 West Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36134,"[""events.ubc.ca?id=36134""]",
36133,4,publish,2021-12-08 09:50:49,2021-12-08 17:50:49,2021-12-08 09:50:49,2021-12-08 17:50:49,https://events.ubc.ca/venue/coal-and-mineral-processing-lab/,Coal and Mineral Processing Lab,coal-and-mineral-processing-lab,2332 West Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36133,"[""events.ubc.ca?id=36133""]",
36131,4,publish,2021-12-08 09:49:18,2021-12-08 17:49:18,2021-12-08 09:49:18,2021-12-08 17:49:18,https://events.ubc.ca/venue/chemistry-physics-building/,Chemistry Physics Building,chemistry-physics-building,6221 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36131,"[""events.ubc.ca?id=36131""]",
36130,4,publish,2021-12-08 09:48:44,2021-12-08 17:48:44,2021-12-08 09:48:44,2021-12-08 17:48:44,https://events.ubc.ca/venue/chemistry/,Chemistry,chemistry,2036 Main Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36130,"[""events.ubc.ca?id=36130""]",
36129,4,publish,2021-12-08 09:48:14,2021-12-08 17:48:14,2021-12-08 09:48:14,2021-12-08 17:48:14,https://events.ubc.ca/venue/earthquake-engineering-research-facility-eerf/,Earthquake Engineering Research Facility (EERF),earthquake-engineering-research-facility-eerf,2235 East Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36129,"[""events.ubc.ca?id=36129""]",
36128,4,publish,2021-12-08 09:47:52,2021-12-08 17:47:52,2021-12-08 09:47:52,2021-12-08 17:47:52,https://events.ubc.ca/venue/civil-and-mechanical-engineering-building-ceme/,Civil and Mechanical Engineering Building (CEME),civil-and-mechanical-engineering-building-ceme,6250 Applied Science Lane,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36128,"[""events.ubc.ca?id=36128""]",
36127,4,publish,2021-12-08 09:47:30,2021-12-08 17:47:30,2021-12-08 09:47:30,2021-12-08 17:47:30,https://events.ubc.ca/venue/chemical-and-biological-engineering-building-chbe/,Chemical and Biological Engineering Building (CHBE),chemical-and-biological-engineering-building-chbe,2360 East Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36127,"[""events.ubc.ca?id=36127""]",
36126,4,publish,2021-12-08 09:47:00,2021-12-08 17:47:00,2021-12-08 09:47:00,2021-12-08 17:47:00,https://events.ubc.ca/venue/engineering-cairn/,Engineering Cairn,engineering-cairn,2350 Main Mall,Vancouver,Canada,British Columbia,,,British Columbia,True,True,events.ubc.ca?id=36126,"[""events.ubc.ca?id=36126""]",
36125,4,publish,2021-12-08 09:46:29,2021-12-08 17:46:29,2021-12-08 09:46:29,2021-12-08 17:46:29,https://events.ubc.ca/venue/engineering-student-centre-esc/,Engineering Student Centre (ESC),engineering-student-centre-esc,2335 Engineering Road,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36125,"[""events.ubc.ca?id=36125""]",
36124,4,publish,2021-12-08 09:45:54,2021-12-08 17:45:54,2021-12-08 09:45:54,2021-12-08 17:45:54,https://events.ubc.ca/venue/chapel-of-the-epiphany/,Chapel of the Epiphany,chapel-of-the-epiphany,6030 Chancellor Boulevard,Vancouver,Canada,British Columbia,V6T1X3,,British Columbia,True,True,events.ubc.ca?id=36124,"[""events.ubc.ca?id=36124""]",
36123,4,publish,2021-12-08 09:45:20,2021-12-08 17:45:20,2021-12-08 09:45:20,2021-12-08 17:45:20,https://events.ubc.ca/venue/chan-centre-for-the-performing-arts/,Chan Centre for the Performing Arts,chan-centre-for-the-performing-arts,6265 Crescent Road,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36123,"[""events.ubc.ca?id=36123""]",
36122,4,publish,2021-12-08 09:44:55,2021-12-08 17:44:55,2021-12-08 09:44:55,2021-12-08 17:44:55,https://events.ubc.ca/venue/centre-for-interactive-research-on-sustainability-cirs/,Centre for Interactive Research on Sustainability (CIRS),centre-for-interactive-research-on-sustainability-cirs,2260 West Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36122,"[""events.ubc.ca?id=36122""]",
36121,4,publish,2021-12-08 09:44:31,2021-12-08 17:44:31,2021-12-08 09:44:31,2021-12-08 17:44:31,https://events.ubc.ca/venue/cecil-green-park-house/,Cecil Green Park House,cecil-green-park-house,6251 Cecil Green Park Road,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36121,"[""events.ubc.ca?id=36121""]",
36120,4,publish,2021-12-08 09:44:01,2021-12-08 17:44:01,2021-12-08 09:44:01,2021-12-08 17:44:01,https://events.ubc.ca/venue/carey-centre/,Carey Centre,carey-centre,5920 Iona Drive,Vancouver,Canada,British Columbia,V6T1J6,,British Columbia,True,True,events.ubc.ca?id=36120,"[""events.ubc.ca?id=36120""]",
36118,4,publish,2021-12-08 09:42:01,2021-12-08 17:42:01,2021-12-08 09:42:01,2021-12-08 17:42:01,https://events.ubc.ca/venue/buchanan-tower/,Buchanan Tower,buchanan-tower,1873 East Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36118,"[""events.ubc.ca?id=36118""]",
36117,4,publish,2021-12-08 09:41:45,2021-12-08 17:41:45,2021-12-08 09:41:45,2021-12-08 17:41:45,https://events.ubc.ca/venue/buchanan-building/,Buchanan Building,buchanan-building,1866 Main Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36117,"[""events.ubc.ca?id=36117""]",
36116,4,publish,2021-12-08 09:41:14,2021-12-08 17:41:14,2021-12-08 09:41:14,2021-12-08 17:41:14,https://events.ubc.ca/venue/brock-hall/,Brock Hall,brock-hall,1874 East Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36116,"[""events.ubc.ca?id=36116""]",
36115,4,publish,2021-12-08 09:40:29,2021-12-08 17:40:29,2021-12-08 09:40:29,2021-12-08 17:40:29,https://events.ubc.ca/venue/ubc-bookstore/,UBC Bookstore,ubc-bookstore,6200 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36115,"[""events.ubc.ca?id=36115""]",
36114,4,publish,2021-12-08 09:40:05,2021-12-08 17:40:05,2021-12-08 09:40:05,2021-12-08 17:40:05,https://events.ubc.ca/venue/biomedical-research-centre/,Biomedical Research Centre,biomedical-research-centre,2222 Health Sciences Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36114,"[""events.ubc.ca?id=36114""]",
36113,4,publish,2021-12-08 09:39:32,2021-12-08 17:39:32,2021-12-08 09:39:32,2021-12-08 17:39:32,https://events.ubc.ca/venue/biological-sciences-building/,Biological Sciences Building,biological-sciences-building,6270 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36113,"[""events.ubc.ca?id=36113""]",
36112,4,publish,2021-12-07 14:38:22,2021-12-07 22:38:22,2021-12-07 14:38:22,2021-12-07 22:38:22,https://events.ubc.ca/venue/beaty-biodiversity-centre/,Beaty Biodiversity Centre,beaty-biodiversity-centre,2212 Main Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36112,"[""events.ubc.ca?id=36112""]",
36111,4,publish,2021-12-07 14:33:52,2021-12-07 22:33:52,2021-12-07 14:33:52,2021-12-07 22:33:52,https://events.ubc.ca/venue/ubc-baseball-indoor-training-centre/,UBC Baseball Indoor Training Centre,ubc-baseball-indoor-training-centre,3085 Wesbrook Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36111,"[""events.ubc.ca?id=36111""]",
36110,4,publish,2021-12-07 14:33:24,2021-12-07 22:33:24,2021-12-07 14:33:24,2021-12-07 22:33:24,https://events.ubc.ca/venue/b-c-binning-studios/,B.C. Binning Studios,b-c-binning-studios,6373 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36110,"[""events.ubc.ca?id=36110""]",
36109,4,publish,2021-12-07 14:23:33,2021-12-07 22:23:33,2021-12-07 14:23:33,2021-12-07 22:23:33,https://events.ubc.ca/venue/old-auditorium/,Old Auditorium,old-auditorium,6344 Memorial Road,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36109,"[""events.ubc.ca?id=36109""]",
36108,4,publish,2021-12-07 14:19:46,2021-12-07 22:19:46,2021-12-07 14:19:46,2021-12-07 22:19:46,https://events.ubc.ca/venue/audain-art-centre/,Audain Art Centre,audain-art-centre,2118 West Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36108,"[""events.ubc.ca?id=36108""]",
36107,4,publish,2021-12-07 14:18:18,2021-12-07 22:18:18,2021-12-07 14:18:18,2021-12-07 22:18:18,https://events.ubc.ca/venue/c-k-choi-building-for-the-institute-of-asian-research/,C. K. Choi Building for the Institute of Asian Research,c-k-choi-building-for-the-institute-of-asian-research,1855 West Mall,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36107,"[""events.ubc.ca?id=36107""]",
36106,4,publish,2021-12-07 14:17:35,2021-12-07 22:17:35,2021-12-07 14:17:35,2021-12-07 22:17:35,https://events.ubc.ca/venue/asian-centre/,Asian Centre,asian-centre,1871 West Mall,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36106,"[""events.ubc.ca?id=36106""]",
36105,4,publish,2021-12-07 14:17:04,2021-12-07 22:17:04,2021-12-07 14:17:04,2021-12-07 22:17:04,https://events.ubc.ca/venue/aquatic-ecosystems-research-laboratory-aerl/,Aquatic Ecosystems Research Laboratory (AERL),aquatic-ecosystems-research-laboratory-aerl,2202 Main Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36105,"[""events.ubc.ca?id=36105""]",
36104,4,publish,2021-12-07 14:13:08,2021-12-07 22:13:08,2021-12-07 14:13:08,2021-12-07 22:13:08,https://events.ubc.ca/venue/ubc-aquatic-centre/,UBC Aquatic Centre,ubc-aquatic-centre,6080 Student Union Boulevard,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36104,"[""events.ubc.ca?id=36104""]",
36103,4,publish,2021-12-07 14:12:12,2021-12-07 22:12:12,2021-12-07 14:12:12,2021-12-07 22:12:12,https://events.ubc.ca/venue/anthropology-and-sociology-building/,Anthropology and Sociology Building,anthropology-and-sociology-building,6303 NW Marine Drive,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36103,"[""events.ubc.ca?id=36103""]",
36102,4,publish,2021-12-07 14:11:26,2021-12-07 22:11:26,2021-12-07 14:11:26,2021-12-07 22:11:26,https://events.ubc.ca/venue/ams-nest/,AMS Nest,ams-nest,6133 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z1,https://www.ams.ubc.ca/the-nest/,British Columbia,True,True,events.ubc.ca?id=36102,"[""events.ubc.ca?id=36102""]",
36101,4,publish,2021-12-07 14:10:35,2021-12-07 22:10:35,2021-12-07 14:10:35,2021-12-07 22:10:35,https://events.ubc.ca/venue/allard-hall/,Allard Hall,allard-hall,1822 East Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36101,"[""events.ubc.ca?id=36101""]",
36100,4,publish,2021-12-07 14:09:57,2021-12-07 22:09:57,2021-12-07 14:09:57,2021-12-07 22:09:57,https://events.ubc.ca/venue/acadia-community-centre/,Acadia Community Centre,acadia-community-centre,2707 Tennis Crescent,Vancouver,Canada,British Columbia,V6T2E5,,British Columbia,True,True,events.ubc.ca?id=36100,"[""events.ubc.ca?id=36100""]",
36099,4,publish,2021-12-07 14:08:38,2021-12-07 22:08:38,2021-12-07 14:08:38,2021-12-07 22:08:38,https://events.ubc.ca/venue/abdul-ladha-science-student-centre/,Abdul Ladha Science Student Centre,abdul-ladha-science-student-centre,2055 East Mall,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36099,"[""events.ubc.ca?id=36099""]",
