site,file_type,url,filename,page_title,page_url,page_modified,linked_from_pages
finance,pdf,https://sustain.ubc.ca/sites/default/files/files/1122_MASTER_TCFD%20FINAL-%2011%2022%202022.pdf,1122_MASTER_TCFD%20FINAL-%2011%2022%202022.pdf,UBC publishes first Task Force on Climate-Related Financial Disclosures (TCFD) Report,https://finance.ubc.ca/news/ubc-publishes-first-task-force-on-climate-related-financial-disclosures-tcfd-report/,2024-12-19T16:34:28,1
finance,pdf,https://sustain.ubc.ca/sites/sustain.ubc.ca/files/uploads/CampusSustainability/CS_PDFs/PlansReports/Plans/20-Year-Sustainability-Strategy-UBC.pdf,20-Year-Sustainability-Strategy-UBC.pdf,Sustainable Procurement,https://finance.ubc.ca/doing-business-with-ubc/inclusion-in-procurement/sustainable-procurement/,2025-02-06T17:14:26,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/12/2025_PaySchedule.pdf,2025_PaySchedule.pdf,2025 UBC Pay Schedule,https://finance.ubc.ca/resources/pay-schedule/,2025-01-15T23:19:44,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2026/03/2026_27_UBCBudgetReport.pdf,2026_27_UBCBudgetReport.pdf,UBC’s Annual Budget,https://finance.ubc.ca/ubcs-finances/ubcs-annual-budget/,2026-03-31T17:44:05,1
finance,pdf,https://bog3.sites.olt.ubc.ca/files/2020/09/4_2020.09_Investing-Update.pdf,4_2020.09_Investing-Update.pdf,Update on UBC and UBCIM Responsible Investing Commitments,https://finance.ubc.ca/news/update-on-ubcs-and-ubcim-responsible-investing-commitments/,2025-04-04T19:21:01,3
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/EFT_Cdn_Vendors.pdf,EFT_Cdn_Vendors.pdf,Payment Options,https://finance.ubc.ca/doing-business-with-ubc/invoicing-payment/payment-options/,2026-07-29T18:24:44,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/EFT_US_Vendors.pdf,EFT_US_Vendors.pdf,Payment Options,https://finance.ubc.ca/doing-business-with-ubc/invoicing-payment/payment-options/,2026-07-29T18:24:44,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY21.pdf,FY21.pdf,UBC’s Financial Results for 2020/21,https://finance.ubc.ca/news/ubcs-financial-results-for-2020-21/,2024-12-19T16:35:11,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY22-UBC-Statement-of-Financial-Information.pdf,FY22-UBC-Statement-of-Financial-Information.pdf,2022 Statement of Financial Information (SOFI) now available,https://finance.ubc.ca/news/2022-statement-of-financial-information-sofi-now-available/,2024-12-19T16:34:34,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY22.pdf,FY22.pdf,UBC’s Financial Results for 2021/2022,https://finance.ubc.ca/news/ubcs-financial-results-for-2021-2022/,2024-12-19T16:34:39,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY23-UBC-Statement-of-Financial-Information-1.pdf,FY23-UBC-Statement-of-Financial-Information-1.pdf,2023 Statement of Financial Information (SOFI) now available,https://finance.ubc.ca/news/2023-statement-of-financial-information-sofi-now-available/,2024-12-19T16:34:02,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY23.pdf,FY23.pdf,Read UBC’s 2023 Annual Financial Statements,https://finance.ubc.ca/news/read-ubcs-2023-annual-financial-statements/,2024-12-10T18:44:51,2
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY24-UBC-Statement-of-Financial-Information.pdf,FY24-UBC-Statement-of-Financial-Information.pdf,2024 Statement of Financial Information (SOFI) now available,https://finance.ubc.ca/news/2024-statement-of-financial-information-sofi-now-available/,2024-12-19T16:32:04,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/FY24.pdf,FY24.pdf,Read UBC’s 2024 Annual Financial Statements,https://finance.ubc.ca/news/read-ubcs-2024-annual-financial-statements/,2024-12-19T16:33:32,2
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2025/11/FY25-UBC-Statement-of-Financial-Information.pdf,FY25-UBC-Statement-of-Financial-Information.pdf,Reporting,https://finance.ubc.ca/ubcs-finances/reporting/,2025-12-01T17:17:34,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2025/11/FY25-UBC-Statement-of-Financial-Information.pdf?_gl=1*1hvzpif*_ga*ODM4MzM5OTczLjE3NjE4NTY4MDk.*_ga_3B1R282RNR*czE3NjIyODM4NTckbzYkZzEkdDE3NjIyODQzMzgkajkkbDAkaDA,FY25-UBC-Statement-of-Financial-Information.pdf,2025 Statement of Financial Information (SOFI) now available,https://finance.ubc.ca/news/2025-statement-of-financial-information-sofi-now-available/,2026-05-15T21:53:34,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2025/08/FY25.pdf,FY25.pdf,Read UBC’s 2025 Annual Financial Statements,https://finance.ubc.ca/news/read-ubcs-2025-annual-financial-statements/,2025-08-11T16:33:41,2
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/12/Finance-Sites-Pre-Launch-FAQs.pdf,Finance-Sites-Pre-Launch-FAQs.pdf,Your UBC finance information is moving on January 6!,https://finance.ubc.ca/news/your-ubc-finance-information-is-moving-on-january-6/,2025-02-10T17:18:22,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/IFL-Currency-Guide.pdf,IFL-Currency-Guide.pdf,Payment Options,https://finance.ubc.ca/doing-business-with-ubc/invoicing-payment/payment-options/,2026-07-29T18:24:44,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2025/01/International-Pay-accepted-Currencies.pdf,International-Pay-accepted-Currencies.pdf,Payment Options,https://finance.ubc.ca/doing-business-with-ubc/invoicing-payment/payment-options/,2026-07-29T18:24:44,1
finance,pdf,http://sustain.ubc.ca/sites/default/files/files/MASTER_TDFC_UBC_2023_FINAL.pdf?utm_medium=email&utm_campaign=Finance-Update-%7C-May-17%2C-2024&utm_source=Envoke-Finance-Update-%28UBC-Finance-and-Finance-Subscription%29&utm_term=Finance-Update-%7C-May-17%2C-2024&eid=25733f208d17b93d3ffef2fb8373e71e,MASTER_TDFC_UBC_2023_FINAL.pdf,UBC’s FY2023 Climate-Related Financial Disclosures (TCFD) now available online,https://finance.ubc.ca/news/ubcs-fy2023-climate-related-financial-disclosures-tcfd-now-available-online/,2024-12-19T16:33:53,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/12/Statements-on-Responsible-Investing.pdf,Statements-on-Responsible-Investing.pdf,Responsible Investing,https://finance.ubc.ca/ubcs-finances/the-university-endowment/responsible-investing/,2026-02-03T19:32:03,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2026/05/Supply-Chain-Act-Report.pdf,Supply-Chain-Act-Report.pdf,Reporting for Strategic Initiatives,https://finance.ubc.ca/ubcs-finances/reporting/reporting-for-strategic-initiatives/,2026-05-22T19:44:41,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2025/01/UBC-International-Pay-Form.pdf,UBC-International-Pay-Form.pdf,Payment Options,https://finance.ubc.ca/doing-business-with-ubc/invoicing-payment/payment-options/,2026-07-29T18:24:44,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/UBC-PO-Standard-Terms-and-Conditions_June-2023.pdf,UBC-PO-Standard-Terms-and-Conditions_June-2023.pdf,Purchase Order Terms & Conditions,https://finance.ubc.ca/doing-business-with-ubc/purchase-order-terms-conditions/,2024-12-19T18:27:22,1
finance,pdf,https://finance.ubc.ca/sites/finserv.ubc.ca/files/UBC_SP_GlobalRatings_2021.pdf,UBC_SP_GlobalRatings_2021.pdf,UBC Affirmed with “AA+” Rating from S&P,https://finance.ubc.ca/news/ubc-affirmed-with-aa-rating-from-sp/,2024-12-11T17:31:57,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/11/UBC_Supply-Chain-Act-Report_2024.pdf,UBC_Supply-Chain-Act-Report_2024.pdf,UBC’s first report on fighting against forced labour and child labour in Supply Chains now available,https://finance.ubc.ca/news/ubcs-first-report-on-fighting-against-forced-labor-and-child-labor-in-supply-chains-now-available/,2025-05-29T16:58:36,1
finance,pdf,https://www.un.org/development/desa/indigenouspeoples/wp-content/uploads/sites/19/2018/11/UNDRIP_E_web.pdf,UNDRIP_E_web.pdf,Supplier Code of Conduct,https://finance.ubc.ca/doing-business-with-ubc/inclusion-in-procurement/supplier-code-of-conduct/,2026-05-27T18:57:13,1
finance,pdf,https://vpfo-finance-2024.sites.olt.ubc.ca/files/2024/12/VisaPayablesEnrolmentUBC.pdf,VisaPayablesEnrolmentUBC.pdf,Payment Options,https://finance.ubc.ca/doing-business-with-ubc/invoicing-payment/payment-options/,2026-07-29T18:24:44,1
finance,pdf,https://www.ohchr.org/sites/default/files/documents/publications/guidingprinciplesbusinesshr_en.pdf,guidingprinciplesbusinesshr_en.pdf,Supplier Code of Conduct,https://finance.ubc.ca/doing-business-with-ubc/inclusion-in-procurement/supplier-code-of-conduct/,2026-05-27T18:57:13,1
pair,docx,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2025/12/SGC-Survey-Review-Form-20251205.docx,SGC-Survey-Review-Form-20251205.docx,Survey Governance,https://pair.ubc.ca/surveys/survey-governance/,2026-01-06T17:12:12,1
pair,pdf,https://pair.ubc.ca/wp-content/uploads/sites/145/2020/11/2017-18-Enrolment-Report.pdf,2017-18-Enrolment-Report.pdf,Annual Enrolment Reports,https://pair.ubc.ca/student-data-analytics/enrolment/annual-enrolment-reports/,2026-03-04T17:16:45,1
pair,pdf,https://pair.ubc.ca/wp-content/uploads/sites/145/2020/11/2018-19-Enrolment-Report.pdf,2018-19-Enrolment-Report.pdf,Annual Enrolment Reports,https://pair.ubc.ca/student-data-analytics/enrolment/annual-enrolment-reports/,2026-03-04T17:16:45,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/2018-Baccalaureate-Graduates-Survey-of-2016-Graduates.pdf,2018-Baccalaureate-Graduates-Survey-of-2016-Graduates.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ubc.ca/wp-content/uploads/sites/145/2020/11/2019-20-Enrolment-Report.pdf,2019-20-Enrolment-Report.pdf,Annual Enrolment Reports,https://pair.ubc.ca/student-data-analytics/enrolment/annual-enrolment-reports/,2026-03-04T17:16:45,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/2019BGS_Questionnaire.pdf,2019BGS_Questionnaire.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ubc.ca/wp-content/uploads/sites/145/2022/02/2021-22-Enrolment-Report.pdf,2021-22-Enrolment-Report.pdf,Annual Enrolment Reports,https://pair.ubc.ca/student-data-analytics/enrolment/annual-enrolment-reports/,2026-03-04T17:16:45,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2014-Summary-of-Survey-Results-UBCO.pdf,BGS_2014-Summary-of-Survey-Results-UBCO.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2014_Summary_UBCV.pdf,BGS_2014_Summary_UBCV.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2015-Summary-of-Survey-Results-UBCO.pdf,BGS_2015-Summary-of-Survey-Results-UBCO.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2015_Summary_UBCV.pdf,BGS_2015_Summary_UBCV.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2016-Summary-of-Survey-Results-UBCO.pdf,BGS_2016-Summary-of-Survey-Results-UBCO.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2016_Summary_UBCV.pdf,BGS_2016_Summary_UBCV.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2017-Summary-of-Survey-Results-UBCO.pdf,BGS_2017-Summary-of-Survey-Results-UBCO.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2017_Summary_UBCV.pdf,BGS_2017_Summary_UBCV.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2018-Summary-of-Survey-Results-UBCO.pdf,BGS_2018-Summary-of-Survey-Results-UBCO.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/BGS_2018_Summary_UBCV.pdf,BGS_2018_Summary_UBCV.pdf,Baccalaureate Graduate Survey,https://pair.ubc.ca/surveys/bgs/,2025-03-13T22:24:32,1
pair,pdf,https://static1.squarespace.com/static/5cb8eb6c0cf57dbc1d121d23/t/667f1197a8c18661b57607a6/1721255757832/CCWS_SurveyContent_2024-25_STUDENT_English-20240523+%281%29.pdf,CCWS_SurveyContent_2024-25_STUDENT_English-20240523+%281%29.pdf,Canadian Campus Wellbeing Survey,https://pair.ubc.ca/surveys/ccws/,2025-08-21T22:51:46,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/CCWS_SurveyContent_RevF.pdf,CCWS_SurveyContent_RevF.pdf,Canadian Campus Wellbeing Survey,https://pair.ubc.ca/surveys/ccws/,2025-08-21T22:51:46,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2026/06/Factsheets_UBC.pdf,Factsheets_UBC.pdf,Fact Sheets,https://pair.ubc.ca/ubc-data-analytics/fact-sheets/,2026-06-17T18:54:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2026/06/Factsheets_UBCO.pdf,Factsheets_UBCO.pdf,Fact Sheets,https://pair.ubc.ca/ubc-data-analytics/fact-sheets/,2026-06-17T18:54:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2026/06/Factsheets_UBCV.pdf,Factsheets_UBCV.pdf,Fact Sheets,https://pair.ubc.ca/ubc-data-analytics/fact-sheets/,2026-06-17T18:54:32,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2021/01/FocusGroupsWorkshop_20210119_rev0.pdf,FocusGroupsWorkshop_20210119_rev0.pdf,A General Guide to Administering Surveys,https://pair.ubc.ca/surveys/survey-governance/survey-support/survey-guide/,2021-04-26T21:31:17,1
pair,pdf,http://www.stephenporter.org/surveys/Lottery%20incentives%20RHE%202003.pdf,Lottery%20incentives%20RHE%202003.pdf,A General Guide to Administering Surveys,https://pair.ubc.ca/surveys/survey-governance/survey-support/survey-guide/,2021-04-26T21:31:17,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2021/06/MASTER-UES-2019-Questionnaire.pdf,MASTER-UES-2019-Questionnaire.pdf,Undergraduate Experience Survey,https://pair.ubc.ca/surveys/ues/,2026-06-08T19:06:19,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/NSSE-Questionnaires-14-17-organized.pdf,NSSE-Questionnaires-14-17-organized.pdf,National Survey of Student Engagement,https://pair.ubc.ca/surveys/nsse/,2026-06-11T21:42:01,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/NSSE17-Pocket-Guide-Report-UBC-Vancouver.pdf,NSSE17-Pocket-Guide-Report-UBC-Vancouver.pdf,National Survey of Student Engagement,https://pair.ubc.ca/surveys/nsse/,2026-06-11T21:42:01,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2020/07/NSSE17-Pocket-Guide-Report-UBCO.pdf,NSSE17-Pocket-Guide-Report-UBCO.pdf,National Survey of Student Engagement,https://pair.ubc.ca/surveys/nsse/,2026-06-11T21:42:01,1
pair,pdf,https://pair.ok.ubc.ca/wp-content/uploads/sites/145/2021/01/NSSE20-Pocket-Guide-Report-UBC-Vancouver.pdf,NSSE20-Pocket-Guide-Report-UBC-Vancouver.pdf,National Survey of Student Engagement,https://pair.ubc.ca/surveys/nsse/,2026-06-11T21:42:01,1
