program_id,program,degrees,url,campus,requirement_key,has_requirements,note
783,Integrated Sciences,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/integrated-sciences/,vancouver,science-2,True,
787,Interdisciplinary Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/interdisciplinary-studies/,vancouver,arts,True,
791,International Economics,"[""Bachelor of International Economics""]",https://you.ubc.ca/ubc_programs/international-economics/,vancouver,international-economics,True,
795,International Relations,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/international-relations-vancouver/,vancouver,arts,True,
801,Journalism,"[""Master of Journalism""]",https://you.ubc.ca/ubc_programs/journalism/,,,False,no requirements widget on the program page
805,Kinesiology: Multidisciplinary Science,"[""Bachelor of Kinesiology""]",https://you.ubc.ca/ubc_programs/kinesiology-multidisciplinary-science/,vancouver,kinesiology,True,
807,Kinesiology: Neuromechanical and Physiological Sciences,"[""Bachelor of Kinesiology""]",https://you.ubc.ca/ubc_programs/kinesiology-neuromechanical-physiological-sciences/,vancouver,kinesiology,True,
809,Kinesiology: Social and Behavioural Sciences,"[""Bachelor of Kinesiology""]",https://you.ubc.ca/ubc_programs/kinesiology-social-behavioural-sciences/,vancouver,kinesiology,True,
817,Latin American Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/latin-american-studies-vancouver/,vancouver,arts,True,
819,Law,"[""Juris Doctor""]",https://you.ubc.ca/ubc_programs/law/,,,False,no requirements widget on the program page
823,Linguistics,"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/linguistics/,vancouver,arts,True,
560625,Manufacturing Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/manufacturing-engineering-vancouver/,vancouver,engineering,True,
831,Materials Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/materials-engineering/,vancouver,engineering,True,
835,Mathematical Sciences,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/mathematical-sciences-vancouver/,vancouver,science-2,True,
845,Mathematics (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/ubc_programs/mathematics-vancouver-ba/,vancouver,arts,True,
847,Mathematics (BSc),"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/mathematics-vancouver-bsc/,vancouver,science-2,True,
837,Mathematics and Economics,"[""Bachelor of Science""]",https://you.ubc.ca/ubc_programs/mathematics-economics/,vancouver,science-2,True,
853,Mechanical Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/ubc_programs/mechanical-engineering-vancouver/,vancouver,engineering,True,
