program_id,program,degrees,url,campus,area_key,area,matched_by,tuition_domestic,tuition_international,student_fees,lab_clinic_fees_domestic,lab_clinic_fees_international,books_supplies,educational_total_domestic,educational_total_international,custom_tuition_message
1003,Statistics,"[""Bachelor of Science""]",https://you.ubc.ca/programs/statistics-vancouver/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
1009,Theatre Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/theatre/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
1013,Theatre: Acting,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/programs/theatre-acting/,vancouver,fine_arts,Fine Arts,exact:degree,6201,51530,1380,0,0,1800,9381,54710,
1015,Theatre: Design and Production,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/programs/theatre-design-production/,vancouver,fine_arts,Fine Arts,exact:degree,6201,51530,1380,0,0,1800,9381,54710,
1021,United States Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/united-states-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
341396,Urban Forestry,"[""Bachelor of Urban Forestry""]",https://you.ubc.ca/programs/urban-forestry/,vancouver,forestry_urban,Forestry: Urban Forestry,overlap:title,6201,53082,1375,0,0,1500,9076,55957,
568680,Urban Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/urbanstudies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
547511,Vantage One: Applied Science (Engineering),[],https://you.ubc.ca/programs/vantage-one-applied-science/,vancouver,vantage_one_applied_science,Vantage One Applied Science,overlap:title,,70687,1380.5,,0,1119.13,,73186.63,
572165,Vantage One: Arts,[],https://you.ubc.ca/programs/vantage-one-arts/,vancouver,vantage_one_arts,Vantage One Arts,exact:title,,67614,1380,,0,1119.13,,70113.13,
547517,Vantage One: Science,[],https://you.ubc.ca/programs/vantage-one-science/,vancouver,vantage_one_science,Vantage One Science,exact:title,,70687,1358,,0,1041.93,,73086.93,
1029,Visual Art (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/programs/visual-art-ba/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
1031,Visual Art (BFA),"[""Bachelor of Fine Arts""]",https://you.ubc.ca/programs/visual-art-bfa/,vancouver,fine_arts,Fine Arts,exact:degree,6201,51530,1380,0,0,1800,9381,54710,
1039,Wood Products,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/programs/wood-products/,vancouver,forestry_natural_resources,Forestry: Natural Resources,overlap:degree,6201,53082,1375,0,0,1500,9076,55957,
