campus,level,page,url,section,context,table_label,kind,note
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Medicine
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,Science
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,divider,* Deposit is applicable for Master of Business Administration portion only.
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,note,** Deposit is also applicable for Master of Data Science in Computational Linguistics.
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Fee assessment exceptions,[],"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees.",note,"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees."
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Fee assessment exceptions,[],"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees.",note,"6 Dependent child and spouse defined by Immigration, Refugee and Citizenship Canada. Where relevant, the eligibility of the student is dependent upon their age at the time of the Tuition Fee Payment Due Dates of the applicable term."
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Fee assessment exceptions,[],"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees.",note,7 Supporting documentation may include a certificate of Indian Status or a Métis citizenship card that meets the Métis National Council Guidelines. Those without formal documentation may be considered on a case-by-case basis.
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Fee assessment exceptions,[],"5 If the student receives permanent residency in Canada on or before the date that tuition is due, the student will be assessed domestic student tuition and fees.",note,"8 Examples of eligible Nations include American members of the Okanagan Nation Alliance, Kootenai Tribes, and the Haudenosaunee Confederacy. Supporting documentation may include enhanced tribal identification cards (preferred) or recognition from an American Indian or an Alaska Native tribe. Those without formal documentation may be considered on a case-by-case basis."
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,divider,Course Field Trips
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ANTH_V 409 variable
